Date,Open,High,Low,Close,AdjClose,Volume
2014-02-11,162.699997,163.949997,162.029999,163.380005,153.034561,698289
2014-02-12,162.199997,164.320007,161.960007,163.710007,153.343674,622900
2014-02-13,163.389999,164.679993,162,163.649994,153.287476,564993
2014-02-14,164.279999,170,159.320007,169.25,158.532883,1032348
2014-02-17,170.100006,174.100006,168.610001,172.990005,162.036041,168844
2014-02-18,172.119995,173.479996,169.5,170.139999,159.366516,570684
2014-02-19,170.440002,172.990005,168.960007,171.899994,161.01506,1055542
2014-02-20,172,173,169.449997,171.5,160.640396,995132
2014-02-21,170,174,169.600006,173.75,162.74794,267319
2014-02-24,173.809998,177.960007,173.110001,174.660004,163.600327,740644
2014-02-25,174.5,175.320007,171,172.990005,162.036041,391728
2014-02-26,173,176,169.5,173.910004,162.897812,598275
2014-02-27,173.869995,176,173.389999,173.759995,162.757294,590803
2014-02-28,173.990005,174,169,171,160.172073,1919121
2014-03-03,169.160004,171.429993,166.990005,170.350006,159.563217,603201
2014-03-04,172,172,169.399994,170.25,159.469559,837318
2014-03-05,170.119995,170.199997,167.5,168.669998,157.989594,644481
2014-03-06,168.669998,172.259995,168.669998,171.320007,160.471817,1119444
2014-03-07,171.779999,172,170,171.259995,160.415588,851805
2014-03-10,170.470001,174.5,170.470001,172.929993,161.979858,739526
2014-03-11,171,174.899994,171,172.630005,161.698853,1058117
2014-03-12,173,173.199997,172,172.630005,161.698853,1309818
2014-03-13,172.25,173.490005,170.5,171.789993,160.912033,1191690
2014-03-14,171,174.279999,171,173.460007,162.476303,1365139
2014-03-18,174.320007,175.889999,174.320007,175.130005,164.040558,1169639
2014-03-19,175.130005,176,173.729996,174.509995,163.459808,757588
2014-03-20,175.990005,176.179993,173.75,175.929993,164.789886,1883329
2014-03-21,175.850006,177.919998,173,174.729996,163.665863,8089147
2014-03-24,177.5,179.550003,175.979996,177.429993,166.194901,761359
2014-03-25,178,179.449997,176.5,176.880005,165.679733,1629518
2014-03-26,177.550003,178.800003,176,176.550003,165.370636,476645
2014-03-27,177,177,174.5,175,163.918777,803591
2014-03-28,174.119995,178,174.119995,176.300003,165.136475,1533973
2014-03-31,175.800003,177.5,174.5,176.080002,164.930405,3584416
2014-04-01,179.990005,183.5,176.100006,178.5,167.197144,1292464
2014-04-02,179,180.740005,177.309998,179.020004,167.684219,1184602
2014-04-03,178.740005,179.470001,176.520004,178.270004,166.98172,931726
2014-04-04,179.979996,181.690002,178.5,180.050003,168.649002,1026960
2014-04-07,179.270004,181.910004,179,180.029999,168.63028,799419
2014-04-08,180.029999,183,180.009995,181.389999,169.90416,1265577
2014-04-09,183.339996,184,179.350006,181.059998,169.595047,268241
2014-04-10,181.059998,183.990005,178,182.029999,170.503616,1252842
