0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,60.549999,60.840000,60.310001,60.669998,58.547642,6534544
2012-10-19,60.669998,61.299999,60.360001,60.709999,58.586243,3940386
2012-10-22,60.770000,60.849998,60.000000,60.389999,58.277439,2046631
2012-10-23,60.380001,60.750000,59.950001,60.520000,58.402889,2482092
2012-10-24,60.849998,60.950001,60.310001,60.610001,58.489738,2221382
2012-10-25,61.000000,61.000000,58.500000,59.020000,56.955360,8329717
2012-10-26,59.139999,59.250000,58.509998,59.029999,56.965015,3878265
2012-10-29,59.599998,59.750000,58.970001,59.700001,57.611568,1473144
2012-10-30,59.700001,59.869999,59.009998,59.610001,57.524719,1431986
2012-10-31,59.740002,59.990002,58.779999,59.520000,57.437874,5291144
2012-11-05,59.500000,59.939999,58.799999,59.000000,56.936062,4703575
2012-11-06,58.750000,60.599998,58.750000,60.180000,58.074787,4974782
2012-11-07,60.150002,60.200001,59.009998,59.419998,57.341366,3567512
2012-11-08,59.720001,59.950001,59.119999,59.740002,57.650181,2863546
2012-11-09,59.740002,60.169998,59.250000,59.869999,57.775627,4419828
2012-11-12,59.919998,59.919998,59.259998,59.619999,57.534370,817927
2012-11-13,59.400002,60.150002,59.130001,59.669998,57.582623,2660494
2012-11-14,59.500000,60.040001,59.049999,59.189999,57.119415,1758628
2012-11-15,59.310001,60.000000,59.310001,59.520000,57.437874,2013689
2012-11-16,59.520000,59.750000,59.000000,59.650002,57.563328,2461868
2012-11-20,60.090000,60.500000,59.270000,59.810001,57.717728,1684501
2012-11-21,59.509998,60.400002,59.459999,60.320000,58.209888,2586760
2012-11-22,60.200001,60.599998,59.779999,60.509998,58.393234,1035763
2012-11-23,60.869999,61.000000,60.230000,60.779999,58.653793,1410385
2012-11-26,60.279999,61.000000,60.250000,60.919998,58.788891,1780435
2012-11-27,61.000000,61.150002,60.299999,60.820000,58.692394,2673280
2012-11-28,60.599998,61.349998,60.200001,61.119999,58.981899,4698032
2012-11-29,61.279999,62.099998,61.200001,61.990002,59.821457,4410173
2012-11-30,61.369999,61.840000,61.070000,61.250000,59.107349,17800512
2012-12-03,61.099998,61.720001,60.580002,61.349998,59.203854,3175188
2012-12-04,61.070000,61.490002,60.200001,60.360001,58.248486,3653090
2012-12-05,60.009998,62.619999,60.009998,62.490002,60.303974,4614866
2012-12-06,61.869999,64.489998,61.869999,63.900002,61.664654,4621057
2012-12-07,63.720001,64.949997,63.720001,64.570000,62.311211,4095945
2012-12-10,63.919998,64.800003,63.570000,64.190002,61.944504,3378408
2012-12-11,64.000000,64.949997,63.869999,64.750000,62.484917,5955955
2012-12-13,64.760002,65.580002,64.760002,65.320000,63.034981,3365955
2012-12-14,64.250000,65.699997,64.250000,64.930000,62.658611,2066022
2012-12-17,64.949997,65.849998,64.900002,65.290001,63.006027,3854741
2012-12-18,65.800003,66.870003,65.370003,66.589996,64.260544,4370073
2012-12-19,66.589996,67.980003,66.589996,67.860001,65.486122,4142654
2012-12-20,67.589996,68.400002,67.550003,68.320000,65.930038,4077689
2012-12-21,67.550003,69.489998,67.550003,68.629997,66.229187,11686936
2012-12-24,68.389999,68.910004,67.959999,68.050003,65.669479,500417
2012-12-26,68.599998,68.739998,67.220001,67.959999,65.582626,1400744
2012-12-27,67.330002,68.400002,67.330002,68.260002,65.872131,1813885
2012-12-28,68.849998,68.849998,67.570000,68.050003,65.669479,1957038
2012-12-31,67.739998,69.099998,67.739998,68.250000,65.862480,1454532
2013-01-02,67.610001,70.650002,67.610001,70.110001,67.657410,2439773
2013-01-03,70.440002,71.580002,70.110001,70.709999,68.236420,3653087
2013-01-04,70.849998,71.040001,69.809998,70.709999,68.236420,4243665
2013-01-07,70.250000,70.519997,69.910004,70.300003,67.840767,1865714
2013-01-08,70.000000,70.599998,69.949997,70.339996,67.879364,3340472
2013-01-09,70.269997,71.000000,70.059998,70.809998,68.332916,3080083
2013-01-10,70.599998,70.660004,69.639999,69.910004,67.464409,3900353
2013-01-11,69.800003,70.599998,69.550003,70.120003,67.667076,1893193
2013-01-14,70.129997,70.639999,69.570000,70.239998,67.782875,2886775
2013-01-15,70.199997,70.279999,68.720001,69.129997,66.711685,2528277
2013-01-16,69.440002,69.440002,68.949997,69.269997,66.846794,2209294
2013-01-17,69.500000,70.150002,69.500000,69.989998,67.541603,2286244
2013-01-18,70.019997,71.000000,69.849998,70.849998,68.371521,2222201
2013-01-21,70.449997,71.199997,70.449997,70.989998,68.506622,439519
2013-01-22,70.779999,71.699997,69.699997,71.519997,69.018082,3831105
2013-01-23,71.250000,71.800003,70.559998,71.739998,69.230385,1627327
2013-01-24,71.769997,72.400002,70.599998,71.190002,68.699631,1798479
2013-01-25,71.489998,71.900002,71.239998,71.790001,69.278648,1189965
2013-01-28,71.790001,72.599998,71.339996,72.480003,69.944504,3776658
2013-01-29,71.800003,73.220001,71.199997,72.260002,69.732208,3380238
2013-01-30,72.300003,73.500000,72.300003,72.459999,69.925194,2500901
2013-01-31,72.599998,72.599998,71.000000,71.239998,68.747887,4626390
2013-02-01,70.529999,73.559998,70.529999,73.449997,70.880577,4757325
2013-02-05,72.919998,73.220001,72.480003,73.000000,70.446312,4005909
2013-02-06,72.879997,73.010002,72.000000,72.169998,69.645348,2230100
2013-02-07,72.150002,72.500000,70.849998,71.169998,68.680336,5132478
2013-02-08,71.500000,71.849998,70.349998,70.970001,68.487320,2014331
2013-02-11,71.580002,71.949997,71.300003,71.480003,68.979485,1099182
2013-02-12,71.449997,71.480003,70.599998,70.739998,68.265381,1876442
2013-02-13,71.199997,71.199997,69.910004,70.360001,67.898659,3521621
2013-02-14,70.070000,70.330002,68.949997,70.029999,67.580208,4426984
2013-02-15,70.290001,71.029999,70.050003,70.459999,67.995163,2078927
2013-02-18,69.919998,70.900002,69.800003,70.070000,67.618820,347506
2013-02-19,71.449997,71.699997,70.400002,71.120003,68.632080,3540118
2013-02-20,70.900002,72.379997,70.900002,72.070000,69.548851,2894736
